Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GapToPrev,Is_Following,CleanMax,Slipstream_Delta,Dirty_Air_Tax
0 days 01:48:47.768000,RUS,63,0 days 00:01:21.445000,37.0,2.0,,,0 days 00:00:29.339000,0 days 00:00:28.976000,0 days 00:00:23.130000,0 days 01:47:55.662000,0 days 01:48:24.638000,0 days 01:48:47.768000,282.0,246.0,250.0,287.0,False,HARD,18.0,True,Mercedes,0 days 01:47:26.323000,,1,3.0,False,,False,True,8.036,0,344.0,0.0,2.035999999999987
0 days 01:50:09.186000,RUS,63,0 days 00:01:21.418000,38.0,2.0,,,0 days 00:00:29.408000,0 days 00:00:28.958000,0 days 00:00:23.052000,0 days 01:49:17.176000,0 days 01:49:46.134000,0 days 01:50:09.186000,279.0,247.0,249.0,290.0,False,HARD,19.0,True,Mercedes,0 days 01:48:47.768000,,1,3.0,False,,False,True,7.958,0,344.0,0.0,2.0090000000000003
0 days 01:51:31.250000,RUS,63,0 days 00:01:22.064000,39.0,2.0,,,0 days 00:00:29.500000,0 days 00:00:29.380000,0 days 00:00:23.184000,0 days 01:50:38.686000,0 days 01:51:08.066000,0 days 01:51:31.250000,282.0,243.0,250.0,289.0,False,HARD,20.0,True,Mercedes,0 days 01:50:09.186000,,1,3.0,False,,False,True,8.581,0,344.0,0.0,2.654999999999987
0 days 01:52:52.952000,RUS,63,0 days 00:01:21.702000,40.0,2.0,,,0 days 00:00:29.321000,0 days 00:00:29.109000,0 days 00:00:23.272000,0 days 01:52:00.571000,0 days 01:52:29.680000,0 days 01:52:52.952000,,247.0,250.0,292.0,False,HARD,21.0,True,Mercedes,0 days 01:51:31.250000,,1,3.0,False,,False,True,7.877,0,344.0,0.0,2.292999999999992
0 days 01:54:14.611000,RUS,63,0 days 00:01:21.659000,41.0,2.0,,,0 days 00:00:29.381000,0 days 00:00:29.104000,0 days 00:00:23.174000,0 days 01:53:22.333000,0 days 01:53:51.437000,0 days 01:54:14.611000,281.0,245.0,250.0,,False,HARD,22.0,True,Mercedes,0 days 01:52:52.952000,,1,2.0,False,,False,True,9.286,0,344.0,0.0,2.25
0 days 01:55:36.037000,RUS,63,0 days 00:01:21.426000,42.0,2.0,,,0 days 00:00:29.313000,0 days 00:00:29.020000,0 days 00:00:23.093000,0 days 01:54:43.924000,0 days 01:55:12.944000,0 days 01:55:36.037000,282.0,248.0,251.0,,False,HARD,23.0,True,Mercedes,0 days 01:54:14.611000,,1,2.0,False,,False,True,9.737,0,344.0,0.0,2.016999999999996
0 days 01:57:00.321000,RUS,63,0 days 00:01:24.284000,43.0,2.0,,0 days 01:56:58.551000,0 days 00:00:29.480000,0 days 00:00:29.289000,0 days 00:00:25.515000,0 days 01:56:05.517000,0 days 01:56:34.806000,0 days 01:57:00.321000,276.0,247.0,,293.0,False,HARD,24.0,True,Mercedes,0 days 01:55:36.037000,,1,3.0,False,,False,False,2.201,0,344.0,0.0,4.875
0 days 01:58:38.792000,RUS,63,0 days 00:01:38.471000,44.0,3.0,0 days 01:57:20.131000,,0 days 00:00:47.699000,0 days 00:00:28.529000,0 days 00:00:22.243000,0 days 01:57:48.020000,0 days 01:58:16.549000,0 days 01:58:38.792000,278.0,247.0,252.0,,False,HARD,1.0,True,Mercedes,0 days 01:57:00.321000,,1,4.0,False,,False,False,13.856,0,344.0,0.0,19.061999999999998
0 days 01:59:58.201000,RUS,63,0 days 00:01:19.409000,45.0,3.0,,,0 days 00:00:28.968000,0 days 00:00:28.136000,0 days 00:00:22.305000,0 days 01:59:07.760000,0 days 01:59:35.896000,0 days 01:59:58.201000,,249.0,251.0,287.0,True,HARD,2.0,True,Mercedes,0 days 01:58:38.792000,,1,4.0,False,,False,True,12.168,0,344.0,0.0,0.0
0 days 02:01:17.812000,RUS,63,0 days 00:01:19.611000,46.0,3.0,,,0 days 00:00:28.936000,0 days 00:00:28.172000,0 days 00:00:22.503000,0 days 02:00:27.137000,0 days 02:00:55.309000,0 days 02:01:17.812000,279.0,250.0,251.0,,False,HARD,3.0,True,Mercedes,0 days 01:59:58.201000,,1,4.0,False,,False,True,6.393,0,344.0,0.0,0.20199999999999818
0 days 02:02:37.443000,RUS,63,0 days 00:01:19.631000,47.0,3.0,,,0 days 00:00:28.876000,0 days 00:00:28.287000,0 days 00:00:22.468000,0 days 02:01:46.688000,0 days 02:02:14.975000,0 days 02:02:37.443000,281.0,250.0,252.0,289.0,False,HARD,4.0,True,Mercedes,0 days 02:01:17.812000,,1,4.0,False,,False,True,6.358,0,344.0,0.0,0.2219999999999942
0 days 02:03:57.317000,RUS,63,0 days 00:01:19.874000,48.0,3.0,,,0 days 00:00:28.970000,0 days 00:00:28.321000,0 days 00:00:22.583000,0 days 02:03:06.413000,0 days 02:03:34.734000,0 days 02:03:57.317000,,249.0,251.0,290.0,False,HARD,5.0,True,Mercedes,0 days 02:02:37.443000,,1,4.0,False,,False,True,6.514,0,344.0,0.0,0.4649999999999892
0 days 02:05:17.456000,RUS,63,0 days 00:01:20.139000,49.0,3.0,,,0 days 00:00:29.072000,0 days 00:00:28.459000,0 days 00:00:22.608000,0 days 02:04:26.389000,0 days 02:04:54.848000,0 days 02:05:17.456000,,250.0,252.0,291.0,False,HARD,6.0,True,Mercedes,0 days 02:03:57.317000,,1,4.0,False,,False,True,6.896,0,344.0,0.0,0.7299999999999898
